bryo_taxa_id,klasse,familie,gattung,art,autor,unterart,autor_unterart,name_de,name_en,rl2004
1325,Laubmoose,Mniaceae,Epipterygium,tozeri,(Grev.) Lindb.,,,Südmoos,Tozer's Thread-moss,VU
143,Lebermoose,Jungermanniaceae,Eremonotus,myriocarpus,(Carrington) Pearson,,,Zwerg-Spitzmoos,Clubwort,LC
1327,Laubmoose,Pottiaceae,Eucladium,verticillatum,(With.) Bruch & Schimp.,,,Wirteliges Schönastmoos,Whorled Tufa-moss,LC
1344,Laubmoose,Brachytheciaceae,Eurhynchiastrum,pulchellum,(Hedw.) Ignatov & Huttunen,,,Hübsches Schönschnabelmoos,Elegant Feather-moss,LC
1360,Laubmoose,Brachytheciaceae,Eurhynchium,angustirete,(Broth.) T.J.Kop.,,,Stumpfblättriges Schönschnabelmoos,,LC
1358,Laubmoose,Brachytheciaceae,Eurhynchium,striatum,(Hedw.) Schimp.,,,Spitzblättriges Schönschnabelmoos,,LC
1363,Laubmoose,Fabroniaceae,Fabronia,ciliaris,(Brid.) Brid.,,,Fabbronimoos,,VU
1365,Laubmoose,Fabroniaceae,Fabronia,pusilla,Raddi,,,Kleines Fabbronimoos,,VU
1366,Laubmoose,Fissidentaceae,Fissidens,adianthoides,Hedw.,,,Haarfarnähnliches Spaltzahnmoos,Maidenhair Pocket-moss,LC
1373,Laubmoose,Fissidentaceae,Fissidens,bryoides,Hedw. ,subsp. bryoides,,Birnmoosähnliches Spaltzahnmoos,,LC
1374,Laubmoose,Fissidentaceae,Fissidens,bryoides,,subsp. curnovii,(Mitt.) Dixon,Birnmoosähnliches Spaltzahnmoos,Curnow's Pocket-moss,EN
1372,Laubmoose,Fissidentaceae,Fissidens,bryoides,Hedw.,,,Birnmoosähnliches Spaltzahnmoos,Lesser Pocket-moss,NE
2509,Laubmoose,Fissidentaceae,Fissidens,celticus,Paton,,,Keltisches Spaltzahnmoos,Welsh Pocket-moss,VU
3415,Laubmoose,Fissidentaceae,Fissidens,crassipes,Bruch & Schimp. ,subsp. crassipes,,Dickstieliges Spaltzahnmoos,Fatfoot Pocket-moss,LC
1375,Laubmoose,Fissidentaceae,Fissidens,crassipes,Bruch & Schimp.,,,Dickstieliges Spaltzahnmoos,Fatfoot Pocket-moss,LC
1392,Laubmoose,Fissidentaceae,Fissidens,crispus,Mont.,,,Schmalblättriges Spaltzahnmoos,,DD
2635,Laubmoose,Fissidentaceae,Fissidens,dubius,P.Beauv.,,,Kamm-Spaltzahnmoos,Rock Pocket-moss,LC
1377,Laubmoose,Fissidentaceae,Fissidens,exilis,Hedw.,,,Kleines Spaltzahnmoos,Slender Pocket-moss,NT
1717,Laubmoose,Fissidentaceae,Fissidens,fontanus,(Bach.Pyl.) Steud.,,,Echter Quellgabelzahn,Fountain Pocket-moss,VU
3418,Laubmoose,Fissidentaceae,Fissidens,gracilifolius,Brugg.-Nann. & Nyholm,,,Schmalblättriges Spaltzahnmoos,,DD
1378,Laubmoose,Fissidentaceae,Fissidens,grandifrons,Brid.,,,Grosses Spaltzahnmoos,,EN
2549,Laubmoose,Fissidentaceae,Fissidens,gymnandrus,Buse,,,,,DD
1381,Laubmoose,Fissidentaceae,Fissidens,osmundoides,Hedw.,,,Königsfarnähnliches Spaltzahnmoos,Purple-stalked Pocket-moss,LC
1395,Laubmoose,Fissidentaceae,Fissidens,pusillus,(Wilson) Milde,,,Zwerg-Spaltzahnmoos,,DD
